Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
providers,,,,22-10-2024 09:06:21,22-10-2024 09:06:36,15.202s,FAILED
,,,,,,,
Test Cases/TIP_Management/provider/FCA-15702_TIP Management - GET TIP Providers,,[BE][QA] TIP Management - GET TIP Providers,getProviders,22-10-2024 09:06:22,22-10-2024 09:06:33,11.396s,FAILED
Start listener action : Before,,,,22-10-2024 09:06:24,22-10-2024 09:06:28,3.889s,PASSED
"if (flag == ""Y"")",,,,22-10-2024 09:06:29,22-10-2024 09:06:32,2.898s,FAILED
Start listener action : afterTestCase,,,,22-10-2024 09:06:32,22-10-2024 09:06:33,1.359s,FAILED
,,,,,,,
Test Cases/TIP_Management/provider/FCA-15703_TIP Management - GET TIP Provider by Id,,[BE][QA] TIP Management - GET TIP Provider by Id,getProviders,22-10-2024 09:06:33,22-10-2024 09:06:36,3.006s,FAILED
Start listener action : Before,,,,22-10-2024 09:06:34,22-10-2024 09:06:34,0.013s,PASSED
"if (flag == ""Y"")",,,,22-10-2024 09:06:36,22-10-2024 09:06:36,0.433s,FAILED
Start listener action : afterTestCase,,,,22-10-2024 09:06:36,22-10-2024 09:06:36,0.124s,FAILED
